x	y
21	0.161131
22	0.172671
23	0.185175
24	0.198856
25	0.214583
26	0.229202
27	0.246648
28	0.262574
29	0.283493
30	0.301097
31	0.322888
32	0.345789
33	0.367784
34	0.394981
35	0.423897
36	0.453898
37	0.485985
38	0.520003
39	0.556001
40	0.594500
41	0.640105
42	0.686855
43	0.734931
44	0.791566
45	0.860214
46	0.928647
47	1.007545
48	1.094911
49	1.192099
50	1.300241
51	1.429927
52	1.575269
53	1.736638
54	1.932504
55	2.173046
56	2.449534
57	2.791456
58	3.226607
59	3.743566
60	4.455777
61	5.340097
62	6.476145
63	7.845492
64	9.492869
65	11.294440
66	13.205410
67	15.198159
68	17.161541
69	19.142086
70	21.080877
71	23.049406
72	25.068654
73	27.021735
74	29.246958
75	31.409937
76	33.717892
77	36.302756
78	38.753415
79	41.542447
80	44.473006
81	47.880545
82	51.686020
83	55.453800
84	61.074516
85	66.628867
86	72.802643
87	77.720819
88	85.970362
89	99.976441
90	113.511883
91	128.365210
92	149.877395
93	174.818275
94	213.645707
95	264.295158
96	332.921780
97	445.403706
98	753.802882
99	1550.776321
